国家名称,指标名称,年份,数值
东亚和太平洋（IDA和IBRD国家）,工业，增加值（占GDP的百分比）,1962,29.216751456999997
东亚和太平洋（IDA和IBRD国家）,通货膨胀率，GDP平减指数（年百分比）,1962,
东亚和太平洋（IDA和IBRD国家）,出生时预期寿命，总年数,1962,46.55106301
东亚和太平洋（IDA和IBRD国家）,人口密度 (每平方公里土地面积的人数),1962,56.64893307
东亚和太平洋（IDA和IBRD国家）,服务业等增加值（占GDP的百分比）,1962,31.026108708600002
欧元区,农业增加值（占GDP的百分比）,1962,
欧元区,人均二氧化碳排放量 (公吨),1962,
欧元区,金融部门提供的国内信贷（占GDP的百分比）,1962,37.62860446
欧元区,人均电力消费量 (千瓦时),1962,1392.422011
欧元区,能源使用量（每人当量千克石油）,1962,1566.554259
欧元区,商品和服务出口（占GDP的百分比）,1962,17.97989235
欧元区,总生育率，每位女性的出生数,1962,2.638609906
欧元区,GDP增长率（年百分比）,1962,6.389289445599999
欧元区,商品和服务进口（占GDP的百分比）,1962,18.57758814
欧元区,工业，增加值（占GDP的百分比）,1962,
欧元区,通货膨胀率，GDP平减指数（年百分比）,1962,3.9343063325400003
欧元区,出生时预期寿命，总年数,1962,69.60281546
欧元区,人口密度 (每平方公里土地面积的人数),1962,102.1685206
欧元区,服务业等增加值（占GDP的百分比）,1962,
欧洲和中亚,农业增加值（占GDP的百分比）,1962,
欧洲和中亚,人均二氧化碳排放量 (公吨),1962,
欧洲和中亚,金融部门提供的国内信贷（占GDP的百分比）,1962,46.6076607
欧洲和中亚,人均电力消费量 (千瓦时),1962,
欧洲和中亚,能源使用量（每人当量千克石油）,1962,
欧洲和中亚,商品和服务出口（占GDP的百分比）,1962,18.85961107
欧洲和中亚,总生育率，每位女性的出生数,1962,2.801406017
欧洲和中亚,GDP增长率（年百分比）,1962,
欧洲和中亚,商品和服务进口（占GDP的百分比）,1962,19.60065986
欧洲和中亚,工业，增加值（占GDP的百分比）,1962,
欧洲和中亚,通货膨胀率，GDP平减指数（年百分比）,1962,
欧洲和中亚,出生时预期寿命，总年数,1962,67.48931558
欧洲和中亚,人口密度 (每平方公里土地面积的人数),1962,24.97043895
欧洲和中亚,服务业等增加值（占GDP的百分比）,1962,
欧洲和中亚（不包括高收入国家）,农业增加值（占GDP的百分比）,1962,
欧洲和中亚（不包括高收入国家）,人均二氧化碳排放量 (公吨),1962,
欧洲和中亚（不包括高收入国家）,金融部门提供的国内信贷（占GDP的百分比）,1962,23.00124533
欧洲和中亚（不包括高收入国家）,人均电力消费量 (千瓦时),1962,
欧洲和中亚（不包括高收入国家）,能源使用量（每人当量千克石油）,1962,
欧洲和中亚（不包括高收入国家）,商品和服务出口（占GDP的百分比）,1962,
欧洲和中亚（不包括高收入国家）,总生育率，每位女性的出生数,1962,3.0335410997500003
欧洲和中亚（不包括高收入国家）,GDP增长率（年百分比）,1962,
欧洲和中亚（不包括高收入国家）,商品和服务进口（占GDP的百分比）,1962,
欧洲和中亚（不包括高收入国家）,工业，增加值（占GDP的百分比）,1962,
欧洲和中亚（不包括高收入国家）,通货膨胀率，GDP平减指数（年百分比）,1962,
欧洲和中亚（不包括高收入国家）,出生时预期寿命，总年数,1962,64.30178482
欧洲和中亚（不包括高收入国家）,人口密度 (每平方公里土地面积的人数),1962,12.534731168099999
欧洲和中亚（不包括高收入国家）,服务业等增加值（占GDP的百分比）,1962,
欧洲和中亚（IDA和IBRD国家）,农业增加值（占GDP的百分比）,1962,
欧洲和中亚（IDA和IBRD国家）,人均二氧化碳排放量 (公吨),1962,
欧洲和中亚（IDA和IBRD国家）,金融部门提供的国内信贷（占GDP的百分比）,1962,23.00124533
欧洲和中亚（IDA和IBRD国家）,人均电力消费量 (千瓦时),1962,
欧洲和中亚（IDA和IBRD国家）,能源使用量（每人当量千克石油）,1962,
欧洲和中亚（IDA和IBRD国家）,商品和服务出口（占GDP的百分比）,1962,
欧洲和中亚（IDA和IBRD国家）,总生育率，每位女性的出生数,1962,2.994944406
欧洲和中亚（IDA和IBRD国家）,GDP增长率（年百分比）,1962,
欧洲和中亚（IDA和IBRD国家）,商品和服务进口（占GDP的百分比）,1962,
欧洲和中亚（IDA和IBRD国家）,工业，增加值（占GDP的百分比）,1962,
欧洲和中亚（IDA和IBRD国家）,通货膨胀率，GDP平减指数（年百分比）,1962,
欧洲和中亚（IDA和IBRD国家）,出生时预期寿命，总年数,1962,64.62170061350001
欧洲和中亚（IDA和IBRD国家）,人口密度 (每平方公里土地面积的人数),1962,13.837717906300002
欧洲和中亚（IDA和IBRD国家）,服务业等增加值（占GDP的百分比）,1962,
欧洲联盟,农业增加值（占GDP的百分比）,1962,
欧洲联盟,人均二氧化碳排放量 (公吨),1962,6.211182184
欧洲联盟,金融部门提供的国内信贷（占GDP的百分比）,1962,44.33900994
欧洲联盟,人均电力消费量 (千瓦时),1962,1641.966348
欧洲联盟,能源使用量（每人当量千克石油）,1962,1869.0381177000002
欧洲联盟,商品和服务出口（占GDP的百分比）,1962,18.69929913
欧洲联盟,总生育率，每位女性的出生数,1962,2.590904191
欧洲联盟,GDP增长率（年百分比）,1962,5.031566294
欧洲联盟,商品和服务进口（占GDP的百分比）,1962,19.26063301
欧洲联盟,工业，增加值（占GDP的百分比）,1962,
欧洲联盟,通货膨胀率，GDP平减指数（年百分比）,1962,
欧洲联盟,出生时预期寿命，总年数,1962,69.51456838
欧洲联盟,人口密度 (每平方公里土地面积的人数),1962,98.94880256
欧洲联盟,服务业等增加值（占GDP的百分比）,1962,
脆弱和冲突影响情况,农业增加值（占GDP的百分比）,1962,
脆弱和冲突影响情况,人均二氧化碳排放量 (公吨),1962,0.28544791635899996
脆弱和冲突影响情况,金融部门提供的国内信贷（占GDP的百分比）,1962,14.76296618
脆弱和冲突影响情况,人均电力消费量 (千瓦时),1962,
脆弱和冲突影响情况,能源使用量（每人当量千克石油）,1962,
脆弱和冲突影响情况,商品和服务出口（占GDP的百分比）,1962,
脆弱和冲突影响情况,总生育率，每位女性的出生数,1962,6.632275168
脆弱和冲突影响情况,GDP增长率（年百分比）,1962,
脆弱和冲突影响情况,商品和服务进口（占GDP的百分比）,1962,
脆弱和冲突影响情况,工业，增加值（占GDP的百分比）,1962,
脆弱和冲突影响情况,通货膨胀率，GDP平减指数（年百分比）,1962,
脆弱和冲突影响情况,出生时预期寿命，总年数,1962,41.936078922600004
脆弱和冲突影响情况,人口密度 (每平方公里土地面积的人数),1962,8.440951684
脆弱和冲突影响情况,服务业等增加值（占GDP的百分比）,1962,
重债穷国（HIPC）,农业增加值（占GDP的百分比）,1962,
重债穷国（HIPC）,人均二氧化碳排放量 (公吨),1962,0.123188013
重债穷国（HIPC）,金融部门提供的国内信贷（占GDP的百分比）,1962,9.163897385
重债穷国（HIPC）,人均电力消费量 (千瓦时),1962,
重债穷国（HIPC）,能源使用量（每人当量千克石油）,1962,
重债穷国（HIPC）,商品和服务出口（占GDP的百分比）,1962,18.188196258199998
重债穷国（HIPC）,总生育率，每位女性的出生数,1962,6.743673729
重债穷国（HIPC）,GDP增长率（年百分比）,1962,6.894541309380001
重债穷国（HIPC）,商品和服务进口（占GDP的百分比）,1962,21.02891268
重债穷国（HIPC）,工业，增加值（占GDP的百分比）,1962,
重债穷国（HIPC）,通货膨胀率，GDP平减指数（年百分比）,1962,2.48595551
重债穷国（HIPC）,出生时预期寿命，总年数,1962,40.41945396
重债穷国（HIPC）,人口密度 (每平方公里土地面积的人数),1962,8.622484235349999
重债穷国（HIPC）,服务业等增加值（占GDP的百分比）,1962,
高收入国家,农业增加值（占GDP的百分比）,1962,
高收入国家,人均二氧化碳排放量 (公吨),1962,7.829977265
高收入国家,金融部门提供的国内信贷（占GDP的百分比）,1962,82.8547064
高收入国家,人均电力消费量 (千瓦时),1962,2545.231463
高收入国家,能源使用量（每人当量千克石油）,1962,2913.425272
高收入国家,商品和服务出口（占GDP的百分比）,1962,12.87731346
高收入国家,总生育率，每位女性的出生数,1962,2.963495107
高收入国家,GDP增长率（年百分比）,1962,5.87285481
高收入国家,商品和服务进口（占GDP的百分比）,1962,13.252244035899999
高收入国家,工业，增加值（占GDP的百分比）,1962,
高收入国家,通货膨胀率，GDP平减指数（年百分比）,1962,
高收入国家,出生时预期寿命，总年数,1962,68.84752297
高收入国家,人口密度 (每平方公里土地面积的人数),1962,22.29783982
高收入国家,服务业等增加值（占GDP的百分比）,1962,
仅IBRD,农业增加值（占GDP的百分比）,1962,34.67413769
仅IBRD,人均二氧化碳排放量 (公吨),1962,1.1365271590600001
仅IBRD,金融部门提供的国内信贷（占GDP的百分比）,1962,
仅IBRD,人均电力消费量 (千瓦时),1962,
仅IBRD,能源使用量（每人当量千克石油）,1962,
仅IBRD,商品和服务出口（占GDP的百分比）,1962,8.338509162689999
仅IBRD,总生育率，每位女性的出生数,1962,5.4944322563800005
仅IBRD,GDP增长率（年百分比）,1962,3.6555936509800007
仅IBRD,商品和服务进口（占GDP的百分比）,1962,8.196042344
仅IBRD,工业，增加值（占GDP的百分比）,1962,28.48168463
仅IBRD,通货膨胀率，GDP平减指数（年百分比）,1962,
仅IBRD,出生时预期寿命，总年数,1962,49.40421599890001
仅IBRD,人口密度 (每平方公里土地面积的人数),1962,28.284280960100002
仅IBRD,服务业等增加值（占GDP的百分比）,1962,36.57803609
IDA和IBRD总计,农业增加值（占GDP的百分比）,1962,35.211278121599996
IDA和IBRD总计,人均二氧化碳排放量 (公吨),1962,0.9659958411570001
IDA和IBRD总计,金融部门提供的国内信贷（占GDP的百分比）,1962,21.404794415599998
IDA和IBRD总计,人均电力消费量 (千瓦时),1962,
IDA和IBRD总计,能源使用量（每人当量千克石油）,1962,
IDA和IBRD总计,商品和服务出口（占GDP的百分比）,1962,8.712338117
IDA和IBRD总计,总生育率，每位女性的出生数,1962,5.702685923230001
IDA和IBRD总计,GDP增长率（年百分比）,1962,3.8733317462400003
IDA和IBRD总计,商品和服务进口（占GDP的百分比）,1962,8.727129035
IDA和IBRD总计,工业，增加值（占GDP的百分比）,1962,
IDA和IBRD总计,通货膨胀率，GDP平减指数（年百分比）,1962,
IDA和IBRD总计,出生时预期寿命，总年数,1962,48.53017276
IDA和IBRD总计,人口密度 (每平方公里土地面积的人数),1962,24.800808079499998
IDA和IBRD总计,服务业等增加值（占GDP的百分比）,1962,
国际开发协会混合,农业增加值（占GDP的百分比）,1962,
国际开发协会混合,人均二氧化碳排放量 (公吨),1962,0.380231078
国际开发协会混合,金融部门提供的国内信贷（占GDP的百分比）,1962,19.64533305
国际开发协会混合,人均电力消费量 (千瓦时),1962,
国际开发协会混合,能源使用量（每人当量千克石油）,1962,
国际开发协会混合,商品和服务出口（占GDP的百分比）,1962,
国际开发协会混合,总生育率，每位女性的出生数,1962,6.346273886
国际开发协会混合,GDP增长率（年百分比）,1962,4.124014532
国际开发协会混合,商品和服务进口（占GDP的百分比）,1962,
国际开发协会混合,工业，增加值（占GDP的百分比）,1962,
国际开发协会混合,通货膨胀率，GDP平减指数（年百分比）,1962,0.469617819
国际开发协会混合,出生时预期寿命，总年数,1962,48.97684366
国际开发协会混合,人口密度 (每平方公里土地面积的人数),1962,25.059254169299997
国际开发协会混合,服务业等增加值（占GDP的百分比）,1962,
仅限国际开发协会,农业增加值（占GDP的百分比）,1962,
仅限国际开发协会,人均二氧化碳排放量 (公吨),1962,0.143113789
仅限国际开发协会,金融部门提供的国内信贷（占GDP的百分比）,1962,
仅限国际开发协会,人均电力消费量 (千瓦时),1962,
仅限国际开发协会,能源使用量（每人当量千克石油）,1962,
仅限国际开发协会,商品和服务出口（占GDP的百分比）,1962,
仅限国际开发协会,总生育率，每位女性的出生数,1962,6.735044047
仅限国际开发协会,GDP增长率（年百分比）,1962,6.7825443948099995
仅限国际开发协会,商品和服务进口（占GDP的百分比）,1962,
仅限国际开发协会,工业，增加值（占GDP的百分比）,1962,
仅限国际开发协会,通货膨胀率，GDP平减指数（年百分比）,1962,
仅限国际开发协会,出生时预期寿命，总年数,1962,42.27917109
仅限国际开发协会,人口密度 (每平方公里土地面积的人数),1962,13.41693508
仅限国际开发协会,服务业等增加值（占GDP的百分比）,1962,
国际开发协会总额,农业增加值（占GDP的百分比）,1962,
国际开发协会总额,人均二氧化碳排放量 (公吨),1962,0.237643138
国际开发协会总额,金融部门提供的国内信贷（占GDP的百分比）,1962,15.91649852
国际开发协会总额,人均电力消费量 (千瓦时),1962,
国际开发协会总额,能源使用量（每人当量千克石油）,1962,
国际开发协会总额,商品和服务出口（占GDP的百分比）,1962,
国际开发协会总额,总生育率，每位女性的出生数,1962,6.589375360569999
国际开发协会总额,GDP增长率（年百分比）,1962,5.454590516180001
国际开发协会总额,商品和服务进口（占GDP的百分比）,1962,
国际开发协会总额,工业，增加值（占GDP的百分比）,1962,
国际开发协会总额,通货膨胀率，GDP平减指数（年百分比）,1962,
国际开发协会总额,出生时预期寿命，总年数,1962,44.8206626
国际开发协会总额,人口密度 (每平方公里土地面积的人数),1962,16.28144729
国际开发协会总额,服务业等增加值（占GDP的百分比）,1962,
后期人口红利,农业增加值（占GDP的百分比）,1962,33.48374362
后期人口红利,人均二氧化碳排放量 (公吨),1962,1.342979115
后期人口红利,金融部门提供的国内信贷（占GDP的百分比）,1962,
后期人口红利,人均电力消费量 (千瓦时),1962,
后期人口红利,能源使用量（每人当量千克石油）,1962,
后期人口红利,商品和服务出口（占GDP的百分比）,1962,7.587388409189999
后期人口红利,总生育率，每位女性的出生数,1962,5.321042724090001
后期人口红利,GDP增长率（年百分比）,1962,3.281424538
后期人口红利,商品和服务进口（占GDP的百分比）,1962,7.498392197
后期人口红利,工业，增加值（占GDP的百分比）,1962,31.46261111
后期人口红利,通货膨胀率，GDP平减指数（年百分比）,1962,
后期人口红利,出生时预期寿命，总年数,1962,51.171937401899996
后期人口红利,人口密度 (每平方公里土地面积的人数),1962,25.05030719
后期人口红利,服务业等增加值（占GDP的百分比）,1962,35.0477841
拉丁美洲和加勒比地区,农业增加值（占GDP的百分比）,1962,
拉丁美洲和加勒比地区,人均二氧化碳排放量 (公吨),1962,1.354544505
拉丁美洲和加勒比地区,金融部门提供的国内信贷（占GDP的百分比）,1962,22.18656336
拉丁美洲和加勒比地区,人均电力消费量 (千瓦时),1962,
拉丁美洲和加勒比地区,能源使用量（每人当量千克石油）,1962,
拉丁美洲和加勒比地区,商品和服务出口（占GDP的百分比）,1962,10.09216481
拉丁美洲和加勒比地区,总生育率，每位女性的出生数,1962,5.942396391390001
拉丁美洲和加勒比地区,GDP增长率（年百分比）,1962,4.833005616
拉丁美洲和加勒比地区,商品和服务进口（占GDP的百分比）,1962,10.91758853
拉丁美洲和加勒比地区,工业，增加值（占GDP的百分比）,1962,
拉丁美洲和加勒比地区,通货膨胀率，GDP平减指数（年百分比）,1962,3.0128553157200004
拉丁美洲和加勒比地区,出生时预期寿命，总年数,1962,57.000082881800004
拉丁美洲和加勒比地区,人口密度 (每平方公里土地面积的人数),1962,11.618291185899999
拉丁美洲和加勒比地区,服务业等增加值（占GDP的百分比）,1962,
拉丁美洲和加勒比地区（不包括高收入国家）,农业增加值（占GDP的百分比）,1962,
拉丁美洲和加勒比地区（不包括高收入国家）,人均二氧化碳排放量 (公吨),1962,1.290917438
拉丁美洲和加勒比地区（不包括高收入国家）,金融部门提供的国内信贷（占GDP的百分比）,1962,21.864678260999998
拉丁美洲和加勒比地区（不包括高收入国家）,人均电力消费量 (千瓦时),1962,
拉丁美洲和加勒比地区（不包括高收入国家）,能源使用量（每人当量千克石油）,1962,
拉丁美洲和加勒比地区（不包括高收入国家）,商品和服务出口（占GDP的百分比）,1962,9.237420396
拉丁美洲和加勒比地区（不包括高收入国家）,总生育率，每位女性的出生数,1962,6.0435349572599995
拉丁美洲和加勒比地区（不包括高收入国家）,GDP增长率（年百分比）,1962,4.868760993
拉丁美洲和加勒比地区（不包括高收入国家）,商品和服务进口（占GDP的百分比）,1962,9.773227687
拉丁美洲和加勒比地区（不包括高收入国家）,工业，增加值（占GDP的百分比）,1962,
拉丁美洲和加勒比地区（不包括高收入国家）,通货膨胀率，GDP平减指数（年百分比）,1962,2.8353532692799996
拉丁美洲和加勒比地区（不包括高收入国家）,出生时预期寿命，总年数,1962,56.632426295600006
拉丁美洲和加勒比地区（不包括高收入国家）,人口密度 (每平方公里土地面积的人数),1962,11.42461919
拉丁美洲和加勒比地区（不包括高收入国家）,服务业等增加值（占GDP的百分比）,1962,
拉丁美洲和加勒比地区（IDA和IBRD国家）,农业增加值（占GDP的百分比）,1962,
拉丁美洲和加勒比地区（IDA和IBRD国家）,人均二氧化碳排放量 (公吨),1962,1.329124336
拉丁美洲和加勒比地区（IDA和IBRD国家）,金融部门提供的国内信贷（占GDP的百分比）,1962,22.18656336
拉丁美洲和加勒比地区（IDA和IBRD国家）,人均电力消费量 (千瓦时),1962,
拉丁美洲和加勒比地区（IDA和IBRD国家）,能源使用量（每人当量千克石油）,1962,
拉丁美洲和加勒比地区（IDA和IBRD国家）,商品和服务出口（占GDP的百分比）,1962,9.61786347
拉丁美洲和加勒比地区（IDA和IBRD国家）,总生育率，每位女性的出生数,1962,6.01462187
拉丁美洲和加勒比地区（IDA和IBRD国家）,GDP增长率（年百分比）,1962,4.7533047
拉丁美洲和加勒比地区（IDA和IBRD国家）,商品和服务进口（占GDP的百分比）,1962,10.20928289
拉丁美洲和加勒比地区（IDA和IBRD国家）,工业，增加值（占GDP的百分比）,1962,
拉丁美洲和加勒比地区（IDA和IBRD国家）,通货膨胀率，GDP平减指数（年百分比）,1962,3.0128553157200004
拉丁美洲和加勒比地区（IDA和IBRD国家）,出生时预期寿命，总年数,1962,56.581993814499995
拉丁美洲和加勒比地区（IDA和IBRD国家）,人口密度 (每平方公里土地面积的人数),1962,11.16688466
拉丁美洲和加勒比地区（IDA和IBRD国家）,服务业等增加值（占GDP的百分比）,1962,
最不发达国家：联合国分类,农业增加值（占GDP的百分比）,1962,
最不发达国家：联合国分类,人均二氧化碳排放量 (公吨),1962,0.10587183119799999
最不发达国家：联合国分类,金融部门提供的国内信贷（占GDP的百分比）,1962,
最不发达国家：联合国分类,人均电力消费量 (千瓦时),1962,
最不发达国家：联合国分类,能源使用量（每人当量千克石油）,1962,
最不发达国家：联合国分类,商品和服务出口（占GDP的百分比）,1962,
最不发达国家：联合国分类,总生育率，每位女性的出生数,1962,6.690567196
最不发达国家：联合国分类,GDP增长率（年百分比）,1962,
最不发达国家：联合国分类,商品和服务进口（占GDP的百分比）,1962,
最不发达国家：联合国分类,工业，增加值（占GDP的百分比）,1962,
最不发达国家：联合国分类,通货膨胀率，GDP平减指数（年百分比）,1962,
最不发达国家：联合国分类,出生时预期寿命，总年数,1962,41.19288558
最不发达国家：联合国分类,人口密度 (每平方公里土地面积的人数),1962,12.51950292
最不发达国家：联合国分类,服务业等增加值（占GDP的百分比）,1962,
低中等收入,农业增加值（占GDP的百分比）,1962,35.57724115
低中等收入,人均二氧化碳排放量 (公吨),1962,0.848986788
低中等收入,金融部门提供的国内信贷（占GDP的百分比）,1962,
低中等收入,人均电力消费量 (千瓦时),1962,
低中等收入,能源使用量（每人当量千克石油）,1962,
低中等收入,商品和服务出口（占GDP的百分比）,1962,8.592115736
低中等收入,总生育率，每位女性的出生数,1962,5.742035481619999
低中等收入,GDP增长率（年百分比）,1962,3.90212807
低中等收入,商品和服务进口（占GDP的百分比）,1962,8.582516738130002
低中等收入,工业，增加值（占GDP的百分比）,1962,27.7758561
低中等收入,通货膨胀率，GDP平减指数（年百分比）,1962,
低中等收入,出生时预期寿命，总年数,1962,48.26240228
低中等收入,人口密度 (每平方公里土地面积的人数),1962,24.792960636799997
低中等收入,服务业等增加值（占GDP的百分比）,1962,36.507620883499996
低收入,农业增加值（占GDP的百分比）,1962,
低收入,人均二氧化碳排放量 (公吨),1962,
低收入,金融部门提供的国内信贷（占GDP的百分比）,1962,7.697210549
低收入,人均电力消费量 (千瓦时),1962,
低收入,能源使用量（每人当量千克石油）,1962,
低收入,商品和服务出口（占GDP的百分比）,1962,
低收入,总生育率，每位女性的出生数,1962,6.486390861
低收入,GDP增长率（年百分比）,1962,
低收入,商品和服务进口（占GDP的百分比）,1962,
低收入,工业，增加值（占GDP的百分比）,1962,
低收入,通货膨胀率，GDP平减指数（年百分比）,1962,2.010371569
低收入,出生时预期寿命，总年数,1962,39.87773459
低收入,人口密度 (每平方公里土地面积的人数),1962,12.06945993
低收入,服务业等增加值（占GDP的百分比）,1962,
中下收入,农业增加值（占GDP的百分比）,1962,44.121268971199996
中下收入,人均二氧化碳排放量 (公吨),1962,0.41537526094800004
中下收入,金融部门提供的国内信贷（占GDP的百分比）,1962,22.16112204
中下收入,人均电力消费量 (千瓦时),1962,
中下收入,能源使用量（每人当量千克石油）,1962,
中下收入,商品和服务出口（占GDP的百分比）,1962,8.523300609
中下收入,总生育率，每位女性的出生数,1962,5.932175022
中下收入,GDP增长率（年百分比）,1962,3.572485635369999
中下收入,商品和服务进口（占GDP的百分比）,1962,10.165380385499999
中下收入,工业，增加值（占GDP的百分比）,1962,18.8420127
中下收入,通货膨胀率，GDP平减指数（年百分比）,1962,
中下收入,出生时预期寿命，总年数,1962,46.74591463
